candidate_id,source_file,text,sentence_count,word_count,fkgl,text_simplified_reference,annotator_id,confidence,notes,jargon_terms,fkgl_original,fkgl_simplified,word_count_original,word_count_simplified,output_generic,output_financial,output_financial_t5xl,output_llm
33,fca_consumer_credit_guide.txt,"These are led by our Competition Department. Market studies analyse the effectiveness of competition in different markets, and identify areas where we can intervene to promote more effective competition. The purpose of a market study is to understand whether competition is working effectively in the interests of consumers.",3,48,14.5,These are led by our Competition Department. Market studies analyse how effectively competition is working in different markets and identify areas where we can intervene to promote more effective competition. The purpose of a market study is to understand whether competition is working in the interests of consumers.,John,High,,"market study, competition",14.5,13.8,48,48,Market studies are carried out by the Department for Competition.,These are led by our Competition Department. Market studies analyse the effectiveness of competition in different markets and identify areas where we can intervene to promote more effective competition. The purpose of a market study is to understand whether competition is working effectively in the interests of consumers.,"These are led by our Competition Department. Market studies analyse the effectiveness of competition in different markets, and identify areas where we can intervene to promote more effective competition. The purpose of a market study is to understand whether competition is working effectively in the interests of consumers.",Market studies look at how well competition works in different areas. They help us see where we can improve competition for consumers.
34,bank_of_scotland_cc_tandc.txt,How much does it cost to use a credit card? The cost to use your credit card depends on the interest rates and any introductory or promotional offers you have.,2,30,8.0,How much does it cost to use a credit card? The cost depends on the interest rates and any introductory or promotional offers you have.,John,High,,"credit card, interest rates, promotional offers",8.0,7.7,30,25,The cost to use a credit card depends on the interest rates and any introductory or promotional offers you have.,The cost to use your credit card depends on the interest rates and any introductory or promotional offers you have.,The cost to use your credit card depends on the interest rates and any introductory or promotional offers you have.,How much does a credit card cost? It depends on the interest rates and any special offers you have.
35,sec_interest_rate_risk.txt,"Maturity can also affect interest rate risk. The longer the bonds maturity, the greater the risk that the bonds value could be impacted by changing interest rates prior to maturity, which may have a negative effect on the price of the bond.",2,42,11.1,"Maturity can also affect interest rate risk. The longer a bond's maturity, the greater the risk that its value may be affected by changing interest rates before it matures, which may have a negative effect on the bond's price.",John,High,,"maturity, interest rate risk, bond",11.1,11.1,42,39,"Maturity can also affect interest rate risk. The longer the bonds maturity, the greater the risk that the bonds value could be impacted by changing interest rates prior to maturity, which may have a negative effect on the price of the bond.","Maturity can also affect interest rate risk. The longer the bonds maturity, the greater the risk that the bonds value could be impacted by changing interest rates prior to maturity, which may have a negative effect on the price of the bond.","The longer the bonds maturity, the greater the risk that the bonds value could be impacted by changing interest rates prior to maturity, which may have a negative effect on the price of the bond.",The time until a bond matures also changes its risk. Bonds that take longer to mature have a higher risk of losing value when interest rates change.
36,bank_of_scotland_cc_tandc.txt,"We dont pay interest on credit balances or take them into account for any loyalty or reward schemes. Paying by Direct Debit You can set up a Direct Debit, for example to pay the minimum payment, a fixed amount, or the full balance each month.",2,45,10.8,"We do not pay interest on credit balances or take them into account for any loyalty or reward schemes. You can set up a Direct Debit to pay, for example, the minimum payment, a fixed amount, or the full balance each month.",John,High,,"credit balance, Direct Debit, minimum payment",10.8,10.0,45,42,"You can set up a Direct Debit, for example to pay the minimum payment, a fixed amount, or the full balance each month.","You can set up a Direct Debit, for example to pay the minimum payment, a fixed amount, or the full balance each month.","We do not pay interest on credit balances or take them into account for any loyalty or reward schemes. Paying by Direct Debit You can set up a Direct Debit, for example to pay the minimum payment, a fixed amount, or the full balance each month.",We do not pay interest on positive balances or use them for reward programs. You can set up a Direct Debit to pay your balance automatically.
37,nationwide_current_account_tandc.txt,"We wont be responsible if you ask us to make a payment to another person and the recipients bank delays crediting the money to the recipients account. This could happen if, for example, they need to carry out security checks.",2,40,10.2,"We will not be responsible if you ask us to make a payment to another person and the recipient's bank delays crediting the money to their account. This could happen if, for example, the recipient's bank needs to carry out security checks.",John,High,,security checks,10.2,10.3,40,42,"We won't be responsible if you ask us to make a payment to another person and the recipients bank delays crediting the money to the recipients account. This could happen if, for example, they need to carry out security checks.","We won’t be responsible if you ask us to make a payment to another person and the recipient bank delays crediting the money to the recipient account. This could happen if, for example, they need to carry out security checks.","We won't be responsible if you ask us to make a payment to another person and the recipient's bank delays crediting the money to the recipient's account. This could happen if, for example, they need to carry out security checks.",We are not responsible if the receiver's bank delays the payment you sent. This can happen if they need to do security checks.
38,barclaycard_general_tandc.txt,"Some people may want to get a secured credit card if they cant get an unsecured credit card. This gives you a credit card and helps to build up your credit record if you pay it on time, every time.",3,40,7.8,"Some people may want to get a secured credit card if they cannot get an unsecured credit card. A secured credit card helps you build your credit record if you pay on time, every time.",John,High,,"secured credit card, unsecured credit card, credit record",7.8,8.1,40,35,"Some people may want to get a secured credit card if they cant get an unsecured credit card. This gives you a credit card and helps to build up your credit record if you pay it on time, every time.","Some people may want to get a secured credit card if they cant get an unsecured credit card. This gives you a credit card and helps to build up your credit record if you pay it on time, every time.","Some people want to get a secured credit card if they cant get an unsecured credit card. This gives you a credit card and helps to build up your credit record if you pay it on time, every time.","If you cannot get an unsecured credit card, you might want a secured one. This helps you build a credit history if you pay on time."
39,barclaycard_general_tandc.txt,"Once you ve told us youre withdrawing from this agreement, youll have 30 days to pay back anything youve spent on your card. If you dont repay us within 30 days, we may charge interest in line with the terms of this agreement.",2,43,7.9,"Once you have told us you are withdrawing from this agreement, you will have 30 days to repay anything you have spent on your card. If you do not repay within 30 days, we may charge interest in line with the terms of this agreement.",John,High,,"withdrawing, interest",7.9,8.4,43,45,"Once you tell us you’re withdrawing from this agreement, you’ll have 30 days to pay back anything you’ve spent on your card. If you don’t repay us within 30 days, we may charge interest in line with the terms of this agreement.","Once you’ve told us you’re withdrawing from this agreement, you’ll have 30 days to pay back anything you’ve spent on your card. If you don’t repay us within 30 days, we may charge interest in line with the terms of this agreement.","Once you tell us you're withdrawing from this agreement, you'll have 30 days to pay back anything you've spent on your card. If you don't repay us within 30 days, we may charge interest in line with the terms of this agreement.","After you cancel this agreement, you have 30 days to pay back what you spent. If you do not, we may charge you interest."
40,fca_consumer_lending_strategy.txt,"We will work closely with the Government and industry on this. We published our consultation paper , on strengthening protections for consumers in financial difficulty, moving aspects of the Tailored Support Guidance (TSG) for Consumer Credit and Mortgages into our Handbook on a permanent basis.",2,45,15.2,"We will work closely with the Government and industry on this. We published our consultation paper on strengthening protections for consumers in financial difficulty, and on moving aspects of the Tailored Support Guidance for Consumer Credit and Mortgages into our Handbook on a permanent basis.",John,High,,"Tailored Support Guidance, Consumer Credit, consultation paper",15.2,15.2,45,45,"We will work closely with the Government and industry on this. We published our consultation paper , on strengthening protections for consumers in financial difficulty, moving aspects of the Tailored Support Guidance for Consumer Credit and Mortgages into our Handbook on a permanent basis.","We will work closely with the Government and industry on this. We published our consultation paper on strengthening protections for consumers in financial difficulty, moving aspects of the Tailored Support Guidance (TSG) for Consumer Credit and Mortgages into our Handbook on a permanent basis.","We will work closely with the Government and industry on this. We published our consultation paper , on strengthening protections for consumers in financial difficulty, moving aspects of the TSG for Consumer Credit and Mortgages into our Handbook on a permanent basis.",We will work with the Government and industry on this. We published a plan to better protect consumers who have money troubles.
41,amazon_barclaycard_tandc.txt,"Before we make a promotional offer We may also charge you an amount to cover any other reasonable costs or available, well tell you the terms of the promotion. Theres more information losses we must pay if you break this agreement. below on the interest rate(s) associated with promotional balances.",2,50,11.0,"Before we make a promotional offer available, we will tell you the terms of the promotion. There is more information below on the interest rates associated with promotional balances. We may also charge you an amount to cover any other reasonable costs or losses we incur if you break this agreement.",Gianni,High,,"promotional offer, promotional balances, interest rates",11.0,10.9,50,51,"Before we make a promotional offer We may also charge you an amount to cover any other reasonable costs or available, we will tell you the terms of the promotion.","Before we make a promotional offer We may also charge you an amount to cover any other reasonable costs or available, we will tell you the terms of the promotion. Theres more information losses we must pay if you break this agreement.","Before we make a promotional offer We may also charge you an amount to cover any other reasonable costs or available, we'll tell you the terms of the promotion. There's more information losses we must pay if you break this agreement. below on the interest rate(s) associated with promotional balances.","Before we offer a promotion, we will tell you the rules. We may also charge you for costs if you break this agreement."
42,amazon_barclaycard_tandc.txt,"If you become bankrupt (or enter into a voluntary arrangement with your We may also sell your debt on to another organisation. If you have other creditors) or if we believe this is likely to happen accounts with Barclays, we may use money in those accounts to pay us.",2,49,12.5,"If you become bankrupt or enter into a voluntary arrangement with your creditors, or if we believe this is likely, we may sell your debt to another organisation. If you have other accounts with Barclays, we may use money in those accounts to repay what you owe us.",Gianni,High,,"bankrupt, voluntary arrangement, creditors",12.5,12.2,49,48,"If you become bankrupt (or enter into a voluntary arrangement with your creditors) or if we believe this is likely to happen accounts with Barclays, we may use money in those accounts to pay us.","If you become bankrupt (or enter into a voluntary arrangement with your We may also sell your debt on to another organisation. If you have other creditors) or if we believe this is likely to happen accounts with Barclays, we may use money in those accounts to pay us.","If you become bankrupt (or enter into a voluntary arrangement with your We may also sell your debt on to another organisation. If you have other creditors) or if we believe this is likely to happen, we may use money in those accounts to pay us.","If you go bankrupt or make a deal with creditors, we may sell your debt. We can also use money from your other Barclays accounts to pay what you owe."
43,nationwide_mortgage_conditions.txt,"When you take out this mortgage, you appoint us to be your attorney. These powers will only end when you have paid back all the money you owe us and we no longer have a legal charge over the property.",2,40,7.6,"When you take out this mortgage, you appoint us as your attorney. These powers will only end when you have repaid all the money you owe us and we no longer hold a legal charge over the property.",Gianni,High,,"mortgage, attorney, legal charge",7.6,7.7,40,38,"When you take out this mortgage, you appoint us to be your attorney. These powers will only end when you have paid back all the money you owe us and we no longer have a legal charge over the property.","When you take out this mortgage, you appoint us to be your attorney. These powers will only end when you have paid back all the money you owe us and we no longer have a legal charge over the property.","When you take out this mortgage, you appoint us as your attorney. These powers will only end when you have paid back all the money you owe us and we no longer have a legal charge over the property.","When you get this mortgage, you give us power of attorney. This power ends when you pay us back and we no longer have a legal claim on your property."
44,barclaycard_general_tandc.txt,"You wont be able to use a claim against the retailer (or anyone else) to make a claim against us, or to refuse to pay us. However, this doesnt affect your rights under Section 75 of the Consumer Credit Act 1974 (or any replacement act or rule).",2,47,10.4,"You cannot use a dispute with a retailer or anyone else to make a claim against us or to refuse to pay us. However, this does not affect your rights under Section 75 of the Consumer Credit Act 1974 or any replacement legislation.",Gianni,High,,"Section 75, Consumer Credit Act 1974",10.4,10.6,47,43,"You won't be able to use a claim against the retailer (or anyone else) to make a claim against us, or to refuse to pay us. However, this doesn't affect your rights under Section 75 of the Consumer Credit Act 1974 (or any replacement act or rule).","You won’t be able to use a claim against the retailer (or anyone else) to make a claim against us, or to refuse to pay us. However, this doesn’t affect your rights under Section 75 of the Consumer Credit Act 1974 (or any replacement act or rule).","You wont be able to use a claim against the retailer (or anyone else) to make a claim against us, or to refuse to pay us. However, this doesnt affect your rights under Section 75 of the Consumer Credit Act 1974 (or any replacement act or rule).",You cannot use a problem with a store to refuse to pay us. But you still have your rights under the Consumer Credit Act.
45,hsbc_credit_card_tandc.txt,This could also include interest charged on any amounts carried over from your June statement. We also charge interest on trailing interest so even if you pay the trailing interest in full in September we may charge further interest on the account.,2,42,12.0,"This may also include interest charged on any amounts carried over from your June statement. We also charge interest on trailing interest (interest that continues to accrue after a payment). So even if you pay the trailing interest in full in September, we may charge further interest on the account.",Gianni,High,,"trailing interest, compound interest",12.0,10.5,42,50,We charge interest on any amounts carried over from your June statement. We also charge interest on trailing interest so even if you pay the trailing interest in full in September we may charge further interest on the account.,This could also include interest charged on any amounts carried over from your June statement. We also charge interest on trailing interest so even if you pay the trailing interest in full in September we may charge further interest on the account.,This could also include interest charged on any amounts carried over from your June statement. We also charge interest on trailing interest so even if you pay the trailing interest in full in September we may charge further interest on the account.,"This could include interest on amounts from your June statement. We also charge interest on older interest, so you might owe more in September."
46,cfpb_secured_unsecured_loans.txt,"Wrap-up If time allows, ask students to complete an exit ticket responding to the following prompt: How would you describe the difference between a secured and an unsecured loan? Consider searching for other CFPB activities that address the topic of borrowing, including getting loans and managing credit.",2,47,14.4,"Wrap-up: If time allows, ask students to complete an exit ticket responding to the following question: How would you describe the difference between a secured and an unsecured loan? You may also search for other CFPB activities on the topic of borrowing, including getting loans and managing credit.",Gianni,High,,"secured loan, unsecured loan, CFPB",14.4,13.9,47,48,"If time allows, ask students to complete an exit ticket responding to the following prompt:",Ask students to complete an exit ticket responding to the following prompt: How would you describe the difference between a secured and an unsecured loan?,Ask students to complete an exit ticket responding to the following prompt: How would you describe the difference between a secured and an unsecured loan?,Ask students to explain the difference between a secured and unsecured loan. You can also search for other CFPB activities about borrowing and managing credit.
47,fca_consumer_lending_strategy.txt,"Offering new products can potentially present risks to consumers, as well as benefits. Clear responsibility for new products, and accountability through the Senior Manager Regime, is a priority to ensure good outcomes for, and fair treatment of, consumers.",2,38,14.2,"Offering new products can present risks to consumers as well as benefits. Clear responsibility for new products, and accountability through the Senior Manager Regime, is a priority to ensure good outcomes and fair treatment for consumers.",Gianni,High,,Senior Manager Regime,14.2,13.4,38,36,"Offering new products can potentially present risks to consumers, as well as benefits. Clear responsibility for new products, and accountability through the Senior Manager Regime, is a priority to ensure good outcomes for and fair treatment of consumers.","Offering new products can potentially present risks to consumers, as well as benefits. Clear responsibility for new products, and accountability through the Senior Manager Regime, is a priority to ensure good outcomes for, and fair treatment of, consumers.","Clear responsibility for new products and accountability through the Senior Manager Regime is a priority to ensure good outcomes for, and fair treatment of, consumers.",New products can offer benefits but also bring risks. Firms must take responsibility for new products and treat consumers fairly.
48,nationwide_savings_tandc.txt,"You have, or we reasonably believe you have, used the account for illegal or fraudulent purposes. By keeping your account open, we reasonably believe we may: break a law, regulation, code, court order or other duty, be exposed to action from a regulator, government or law enforcement agency.",2,48,14.9,"You have, or we reasonably believe you have, used the account for illegal or fraudulent purposes. By keeping your account open, we reasonably believe we may break a law, regulation, code, court order, or other duty, or be exposed to action from a regulator, government, or law enforcement agency.",Gianni,High,,"fraudulent, regulator",14.9,14.9,48,49,"You have or we reasonably believe you have, used the account for illegal or fraudulent purposes. By keeping your account open, we reasonably believe we may: break a law, regulation, code, court order or other duty, be exposed to action from a regulator, government or law enforcement agency.","You have or we reasonably believe you have, used the account for illegal or fraudulent purposes. By keeping your account open, we reasonably believe we may: break a law, regulation, code, court order or other duty, be exposed to action from a regulator, government or law enforcement agency.","You have, or we reasonably believe you have, used the account for illegal or fraudulent purposes. By keeping your account open, we reasonably believe we may: break a law, regulation, code, court order or other duty, be exposed to action from a regulator, government or law enforcement agency.",We can close your account if we think you used it for illegal reasons. Keeping it open might break the law or get us in trouble with the government.
49,amazon_barclaycard_tandc.txt,"With your account, well give you a digital card which you can access in the app linked to your account. Youll be able to use the digital card in some digital wallets, and the digital card details for online transactions.",2,40,9.0,"With your account, we will give you a digital card that you can access in the app linked to your account. You will be able to use the digital card in some digital wallets and for online transactions.",Gianni,High,,"digital card, digital wallets",9.0,8.0,40,38,"With your account, we will give you a digital card which you can access in the app linked to your account. You’ll be able to use the digital card in some digital wallets, and the digital card details for online transactions.","With your account, we will give you a digital card which you can access in the app linked to your account. You’ll be able to use the digital card in some digital wallets, and the digital card details for online transactions.","With your account, well give you a digital card which you can access in the app linked to your account. Youll be able to use the digital card in some digital wallets, and the digital card details for online transactions.",We will give you a digital card in our app. You can use it in digital wallets and for online shopping.
50,hsbc_summary_box.txt,If you're late making the minimum payment: £12. If you're over your credit limit (even if we've allowed you to go over): £12. If a payment is returned unpaid: £5.,3,30,6.0,If you are late making the minimum payment: £12. If you are over your credit limit (even if we allowed you to exceed it): £12. If a payment is returned unpaid: £5.,Gianni,High,,"minimum payment, credit limit",6.0,5.9,30,32,If you're late: £12. If you're over your credit limit: £12. If a payment is returned unpaid: £5.,If you're late making the minimum payment: £12. If you're over your credit limit: £12. If a payment is returned unpaid: £5.,If you're late making the minimum payment: £12. If you're over your credit limit: £12. If a payment is returned unpaid: £5.,We charge £12 if you pay late. We charge £12 if you go over your credit limit. We charge £5 if a payment fails.
51,amazon_barclaycard_tandc.txt,You can find a link to the current Base Rate in the frequently asked questions section of the app. Your promotional interest rate will not move in line with the Base Rate.,2,32,6.5,You can find a link to the current Base Rate in the frequently asked questions section of the app. Your promotional interest rate will not change in line with the Base Rate.,Gianni,High,,"Base Rate, promotional interest rate",6.5,6.5,32,32,You can find a link to the current Base Rate in the frequently asked questions section of the app.,You can find a link to the current Base Rate in the frequently asked questions section of the app. Your promotional interest rate will not move in line with the Base Rate.,You can find a link to the current Base Rate in the frequently asked questions section of the app.,You can find the Base Rate in the app's questions section. Your special interest rate will not change with the Base Rate.
52,cfpb_secured_unsecured_loans.txt,"If time allows, ask students to complete an exit ticket responding to the following prompt: How would you describe the difference between a secured and an unsecured loan?",2,28,14.7,"If time allows, ask students to complete an exit ticket responding to the following question: How would you describe the difference between a secured and an unsecured loan?",Gianni,High,,"secured loan, unsecured loan",14.7,15.1,28,28,"If time allows, ask students to complete an exit ticket responding to the prompt:","If time allows, ask students to complete an exit ticket responding to the following prompt: How would you describe the difference between a secured and an unsecured loan?","If time allows, ask students to complete an exit ticket responding to the following prompt: How would you describe the difference between a secured and an unsecured loan?",Ask students to explain the difference between a secured and unsecured loan on an exit ticket.
53,hsbc_personal_loan_tandc.txt,"You must repay the loan, without delay, within 30 days, starting the day after you tell us that you want to withdraw, together with interest for each day until you repay. We wont charge any interest if you repay the loan in full within 14 days starting the day we provide the loan. You can repay by calling us or by visiting one of our branches.",2,66,9.3,"You must repay the loan within 30 days of telling us you wish to withdraw, without delay, starting the day after you notify us. Interest will be charged for each day until you repay. We will not charge interest if you repay in full within 14 days of the date we provide the loan. You can repay by calling us or visiting one of our branches.",Gianni,High,,"withdraw, interest",9.3,7.1,66,66,"You must repay the loan, without delay, within 30 days, starting the day after you tell us that you want to withdraw, together with interest for each day until you repay.","You must repay the loan, without delay, within 30 days, starting the day after you tell us that you want to withdraw, together with interest for each day until you repay. You can repay the loan by calling us or by visiting one of our branches.","You must repay the loan, without delay, within 30 days, starting the day after you tell us that you want to withdraw, together with interest for each day until you repay. We wont charge any interest if you repay the loan in full within 14 days starting the day we provide the loan. You can repay by calling us or by visiting one of our branches.",You must repay the loan within 30 days of canceling. You must also pay daily interest. We will not charge interest if you pay in full within 14 days of getting the loan.
54,cfpb_consumer_advisory.txt,"The company tells you it can get rid of the negative credit information in your credit report in a short period (even if that information is accurate and up-to-date), promises a specific increase in credit score, or guarantees results. No one can do this.",2,44,12.6,"The company tells you it can remove negative information from your credit report quickly, even if that information is accurate and up to date. It promises a specific improvement to your credit score or guarantees results. No company can do this.",Gianni,High,,"credit report, credit score",12.6,10.2,44,41,"The company tells you it can get rid of the negative credit information in your credit report in a short period (even if that information is accurate and up-to-date), promises a specific increase in credit score, or guarantees results.","The company tells you it can get rid of negative credit information in your credit report in a short period (even if that information is accurate and up-to-date), promises a specific increase in credit score, or guarantees results. No one can do this.","The company says it can get rid of the negative credit information in your credit report in a short period (even if that information is accurate and up-to-date), promises a specific increase in credit score, or guarantees results. No one can do this.",No one can guarantee to fix your credit score quickly or remove true negative facts from your report.
55,cfpb_secured_unsecured_loans.txt,"Print a single-sided copy of the ""Items you can purchase with secured or unsecured loans"" game cards in this guide on a second color of paper for each student group.",2,30,13.8,Print a single-sided copy of the 'Items you can purchase with secured or unsecured loans' game cards on a second colour of paper for each student group.,Gianni,High,,"secured loans, unsecured loans",13.8,13.3,30,27,"Print a single-sided copy of the ""Items you can purchase with secured or unsecured loans"" game cards on a second color of paper for each student group.","Print a single-sided copy of the ""Items you can purchase with secured or unsecured loans"" game cards in this guide on a second color of paper for each student group.","Print a single-sided copy of the ""Items you can purchase with secured or unsecured loans"" game cards in this guide on another color of paper for each student group.",Print a copy of the game cards on a second color of paper for each group of students.
56,hsbc_personal_loan_tandc.txt,"You can repay all, or part, of the loan early by giving us notice in writing or by telephone. If you give us notice, we will tell you the amount needed to repay the loan in full within the next 28 days (or on a later date you tell us).",3,50,9.0,"You can repay all or part of the loan early by giving us notice in writing or by telephone. If you give notice, we will tell you the amount needed to repay the loan in full within the next 28 days or on a later date you specify.",Gianni,High,,early repayment,9.0,9.3,50,48,"If you give us notice, we will tell you the amount needed to repay the loan in full within the next 28 days (or on a later date you tell us).","You can repay all or part of the loan early by giving us notice in writing or by telephone. If you give us notice, we will tell you the amount needed to repay the loan in full within the next 28 days (or on a later date you tell us).","You can repay all, or part, of the loan early by giving us notice in writing or by telephone. If you give us notice, we will tell you the amount needed to repay the loan in full within the next 28 days (or on a later date you tell us).",You can repay some or all of your loan early by calling or writing to us. We will tell you how much you need to pay within 28 days.
57,cfpb_consumer_advisory.txt,Consider products that help you rebuild your credit. Products like secured credit cards andcredit builder loans are specifically designed to help you build a positive credit history.,3,27,11.5,Consider products that help you rebuild your credit. Products like secured credit cards and credit builder loans are specifically designed to help you build a positive credit history.,Gianni,High,,"secured credit cards, credit builder loans, credit history",11.5,10.9,27,28,Credit builder loans are designed to help you build a positive credit history.,Consider products that help you rebuild your credit. Products like secured credit cards andcredit builder loans are specifically designed to help you build a positive credit history.,Consider products that help you rebuild your credit. Products like secured credit cards andcredit builder loans are specifically designed to help you build a positive credit history.,Look for products that help you build your credit. Secured credit cards and credit builder loans are made to help you do this.
58,cfpb_credit_card_guide.txt,"Some people may want to get a secured credit card if they cant get an unsecured credit card. This gives you a credit card and helps to build up your credit record if you pay it on time, every time.",3,40,7.8,"Some people may want to get a secured credit card if they cannot get an unsecured credit card. A secured credit card helps you build your credit record if you pay on time, every time.",Gianni,High,,"secured credit card, unsecured credit card, credit record",7.8,8.1,40,35,"Some people may want to get a secured credit card if they cant get an unsecured credit card. This gives you a credit card and helps to build up your credit record if you pay it on time, every time.","Some people may want to get a secured credit card if they cant get an unsecured credit card. This gives you a credit card and helps to build up your credit record if you pay it on time, every time.",Some people may want to get a secured credit card if they cant get an unsecured credit card. This gives you a credit card and helps to build up your credit record if you pay it on time.,"If you cannot get a regular credit card, try a secured credit card. It helps you build your credit record if you pay on time."
59,fca_consumer_lending_strategy.txt,"For credit unions in particular, we have seen this result in further rationalisation and an increase in Transfers of Engagement. Boards should proactively plan ahead, including succession planning, as this supports effective governance which is fundamental to the viability of the business and delivering good consumer outcomes.",2,47,16.9,"For credit unions in particular, we have seen this lead to further consolidation and an increase in Transfers of Engagement. Boards should plan ahead proactively, including succession planning, as this supports effective governance and is fundamental to the viability of the business and the delivery of good outcomes for consumers.",Gianni,High,,"credit unions, Transfers of Engagement, succession planning, governance",16.9,16.3,47,50,"Boards should proactively plan ahead, including succession planning, as this supports effective governance which is fundamental to the viability of the business and delivering good consumer outcomes.","For credit unions in particular, we have seen this result in further rationalisation and an increase in Transfers of Engagement. Boards should proactively plan ahead, including succession planning, as this supports effective governance which is fundamental to the viability of the business and delivering good consumer outcomes.","For credit unions in particular, we have seen this result in further rationalisation and an increase in Transfers of Engagement. Boards should proactively plan ahead, including succession planning, as this supports effective governance which is fundamental to the viability of the business and delivering good consumer outcomes.",Credit unions are combining to survive. Boards need to plan ahead to run their business well and help consumers.
60,fca_consumer_credit_guide.txt,We collect data from all regulated firms on a regular basis. This is a key part of our approach to supervision. The information we collect is an important aid to our work: it identifies trends and emerging risks and helps us to monitor compliance.,3,44,8.9,"We collect data from all regulated firms on a regular basis. This is a key part of our approach to supervision. The information we collect helps us identify trends and emerging risks, and helps us monitor compliance.",Gianni,High,,"regulated firms, supervision, compliance",8.9,8.7,44,37,We collect data from all regulated firms on a regular basis. This is a key part of our approach to supervision. The information we collect is an important aid to our work: it identifies trends and emerging risks and helps us to monitor compliance.,We collect data from all regulated firms on a regular basis. This is a key part of our approach to supervision. The information we collect is an important aid to our work: it identifies trends and emerging risks and helps us to monitor compliance.,We collect data from all regulated firms on a regular basis. This is a key part of our approach to supervision. The information we collect is an important aid to our work: it identifies trends and emerging risks and helps us to monitor compliance.,"We regularly collect data from all firms to watch the market. This helps us spot trends, find risks, and check if firms follow the rules."
61,hsbc_personal_loan_tandc.txt,"In any of these cases, we can: demand immediate repayment of the loan; disclose information about you and the conduct of your loan to licensed credit reference agencies (which may make it more difficult for you to borrow in future); restrict access to credit on other accounts you have with us (such as an overdraft or credit card);",2,58,25.5,"In any of these cases, we can: demand immediate repayment of the loan; share information about you and your loan conduct with licensed credit reference agencies, which may make it more difficult for you to borrow in future; or restrict your access to credit on other accounts you hold with us, such as an overdraft or credit card.",Stefani,High,,"credit reference agencies, overdraft, credit card",25.5,25.1,58,58,"In any of these cases, we can: demand immediate repayment of the loan; disclose information about you and the conduct of your loan to licensed credit reference agencies (which may make it more difficult for you to borrow in future); restrict access to credit on other accounts you have with us (such as an overdraft or credit card);","In any of these cases, we can: demand immediate repayment of the loan; disclose information about you and the conduct of your loan to licensed credit reference agencies (which may make it more difficult for you to borrow in future); restrict access to credit on other accounts you have with us (such as an overdraft or credit card);","In any of these cases, we can: demand immediate repayment of the loan; disclose information about you and the conduct of your loan to licensed credit reference agencies (which may make it more difficult for you to borrow in future); restrict access to credit on other accounts you have with us (such as an overdraft or credit card);",We can ask you to repay the loan right away. We can also tell credit agencies about your loan or limit your other credit accounts.
62,barclaycard_general_tandc.txt,You can find the current Base Rate on our website or by calling customer services. Your promotional or purchase plan interest rates will not move in line with the Base Rate.,2,31,7.6,You can find the current Base Rate on our website or by calling customer services. Your promotional or purchase plan interest rates will not change in line with the Base Rate.,Stefani,High,,"Base Rate, promotional interest rate, purchase plan",7.6,7.6,31,31,You can find the current Base Rate on our website or by calling customer services. Your promotional or purchase plan interest rates will not move in line with the Base Rate.,You can find the current Base Rate on our website or by calling customer services. Your promotional or purchase plan interest rates will not move in line with the Base Rate.,You can find the Base Rate on our website or by calling customer services. Your promotional or purchase plan interest rates will not move in line with the Base Rate.,You can find the Base Rate online or by calling us. Your special interest rates will not change with the Base Rate.
63,hsbc_credit_card_tandc.txt,"For example, if an additional cardholder makes a payment that takes the amount on the account over the credit limit, youre responsible for that. Well cancel an additional card when you tell us to.",3,34,9.8,"For example, if an additional cardholder makes a payment that takes the account over the credit limit, you are responsible for that. We will cancel an additional card when you ask us to.",Stefani,High,,"credit limit, additional cardholder",9.8,9.4,34,33,"If an additional cardholder makes a payment that takes the amount on the account over the credit limit, you are responsible for that. Well cancel an additional card when you tell us to.","For example, if an additional cardholder makes a payment that takes the amount on the account over the credit limit, youre responsible for that. Well cancel an additional card when you tell us to.","For example, if an additional cardholder makes a payment that takes the amount on the account over the credit limit, you are responsible for that. Well cancel an additional card when you tell us to.","If another person on your account spends past the credit limit, you must pay for it. We will cancel their card if you ask us."
64,sec_interest_rate_risk.txt,"Lenders may offer people with higher credit scores unsecured loans. These loans require no collateral, so the bank or lending institution is trusting that these borrowers will pay them back. This trust is based on their credit history,what borrowers have done in the past that gives them a good credit rating.",2,51,9.5,"Lenders may offer unsecured loans to people with higher credit scores. These loans require no collateral, so the bank or lending institution is trusting that the borrower will repay. This trust is based on the borrower's credit history — what they have done in the past that gives them a good credit rating.",Stefani,High,,"unsecured loans, collateral, credit score, credit history, credit rating",9.5,9.6,51,53,"Lenders may offer people with higher credit scores unsecured loans. These loans require no collateral, so the bank or lending institution is trusting these borrowers will pay them back. This trust is based on their credit history,what borrowers have done in the past that gives them a good credit rating.","Lenders may offer people with higher credit scores unsecured loans. These loans require no collateral, so the bank or lending institution is trusting that these borrowers will pay them back. This trust is based on their credit history,what borrowers have done in the past that gives them a good credit rating.","Lenders may offer people with higher credit scores unsecured loans. These loans require no collateral, so the bank is trusting that these borrowers will pay them back. This trust is based on their credit history, what borrowers have done in the past that gives them a good credit rating.",Lenders give unsecured loans to people with good credit scores. The lender trusts you will pay them back based on your credit history.
